dt,cnt
2000-06-06 02:42:27 UTC,27
2001-03-19 21:22:16 UTC,5
2001-04-26 15:23:51 UTC,5
2001-05-23 17:57:45 UTC,11
2001-06-10 23:26:19 UTC,4
2001-07-31 17:21:01 UTC,8
2001-08-28 16:21:11 UTC,4
2001-09-30 11:08:59 UTC,2
2001-10-28 19:34:23 UTC,3
2001-11-20 14:12:33 UTC,6
2001-12-18 15:00:12 UTC,22
2002-01-29 14:16:12 UTC,11
2002-02-28 13:47:50 UTC,43
2002-03-28 02:48:51 UTC,13
2002-04-23 16:14:51 UTC,12
2002-05-31 12:31:23 UTC,59
2002-06-18 04:59:04 UTC,12
2002-08-27 12:55:34 UTC,46
2002-09-30 14:29:34 UTC,26
2002-10-30 08:43:15 UTC,59
2002-11-28 15:32:08 UTC,36
2002-12-21 00:32:18 UTC,10
2003-01-31 14:30:00 UTC,73
2003-02-28 09:24:59 UTC,41
2003-03-31 17:33:19 UTC,144
2003-04-27 12:23:15 UTC,124
2003-05-30 14:13:56 UTC,84
2003-06-23 14:49:41 UTC,38
2003-07-29 11:39:47 UTC,35
2003-08-29 16:18:58 UTC,44
2003-09-27 12:44:44 UTC,44
2003-10-31 17:39:48 UTC,125
2003-11-29 03:53:06 UTC,53
2003-12-29 12:12:34 UTC,36
2004-01-30 15:56:56 UTC,152
2004-02-28 11:51:55 UTC,162
2004-03-31 15:28:20 UTC,183
2004-04-29 20:39:16 UTC,150
2004-05-31 11:18:19 UTC,222
2004-06-30 23:04:40 UTC,273
2004-07-27 16:32:25 UTC,176
2004-08-31 16:12:57 UTC,185
2004-09-30 17:28:29 UTC,159
2004-10-29 15:13:36 UTC,89
2004-11-30 17:20:15 UTC,75
2004-12-29 15:45:24 UTC,35
2005-01-31 14:46:51 UTC,161
2005-02-28 19:12:49 UTC,115
2005-03-31 13:02:53 UTC,153
2005-04-30 13:23:14 UTC,76
2005-05-31 17:40:43 UTC,54
2005-06-30 20:50:32 UTC,87
2005-07-31 14:11:03 UTC,205
2005-08-31 20:15:07 UTC,201
2005-09-30 17:10:13 UTC,155
2005-10-31 19:43:36 UTC,250
2005-11-29 18:27:24 UTC,195
2005-12-30 19:35:21 UTC,85
2006-01-31 20:27:22 UTC,121
2006-02-28 19:26:43 UTC,215
2006-03-31 21:05:59 UTC,145
2006-04-28 22:33:41 UTC,224
2006-05-31 16:50:59 UTC,168
2006-06-30 22:44:43 UTC,266
2006-07-31 14:18:49 UTC,151
2006-08-31 21:55:50 UTC,94
2006-09-30 16:55:43 UTC,137
2006-10-31 20:34:07 UTC,404
2006-11-30 22:50:39 UTC,351
2006-12-30 00:08:35 UTC,288
2007-01-31 16:40:51 UTC,389
2007-02-28 21:03:15 UTC,270
2007-03-31 17:07:45 UTC,327
2007-04-30 23:36:10 UTC,285
2007-05-31 19:20:25 UTC,213
2007-06-30 20:33:51 UTC,220
2007-07-31 20:21:35 UTC,243
2007-08-31 21:02:39 UTC,311
2007-09-30 22:36:35 UTC,133
2007-10-31 23:57:01 UTC,210
2007-11-30 22:03:48 UTC,244
2007-12-30 22:59:37 UTC,168
2008-01-31 20:07:04 UTC,313
2008-02-29 20:03:14 UTC,324
2008-03-31 18:00:50 UTC,275
2008-04-30 21:02:42 UTC,465
2008-05-30 21:57:10 UTC,330
2008-06-30 22:17:24 UTC,394
2008-07-31 21:01:33 UTC,287
2008-08-30 16:13:01 UTC,302
2008-09-30 19:14:59 UTC,233
2008-10-31 23:07:01 UTC,480
2008-11-30 23:15:21 UTC,474
2008-12-31 21:13:48 UTC,272
2009-01-31 21:39:12 UTC,480
2009-02-28 23:08:45 UTC,520
2009-03-31 23:32:30 UTC,525
2009-04-30 22:49:07 UTC,361
2009-05-31 20:27:52 UTC,553
2009-06-30 21:13:50 UTC,550
2009-07-31 18:50:45 UTC,408
2009-08-31 22:46:34 UTC,509
2009-09-30 23:59:55 UTC,637
2009-10-31 22:26:37 UTC,744
2009-11-30 23:20:08 UTC,630
2009-12-31 12:46:12 UTC,467
2010-01-31 23:48:03 UTC,1350
2010-02-28 23:54:38 UTC,1483
2010-03-31 23:41:12 UTC,1441
2010-04-30 22:59:09 UTC,1221
2010-05-31 23:35:30 UTC,1633
2010-06-30 23:26:09 UTC,1131
2010-07-31 23:02:56 UTC,1429
2010-08-31 23:45:32 UTC,1234
2010-09-30 23:29:45 UTC,1516
2010-10-31 23:54:42 UTC,1463
2010-11-30 23:42:28 UTC,1747
2010-12-31 23:03:27 UTC,959
2011-01-31 23:28:21 UTC,1442
2011-02-28 23:09:05 UTC,1615
2011-03-31 23:48:21 UTC,1450
2011-04-30 23:51:50 UTC,2400
2011-05-31 23:08:54 UTC,1595
2011-06-30 23:28:54 UTC,2054
2011-07-31 22:39:37 UTC,2508
2011-08-31 23:51:02 UTC,2412
2011-09-30 23:19:31 UTC,1857
2011-10-31 23:18:05 UTC,1701
2011-11-30 23:55:05 UTC,2048
2011-12-31 20:26:34 UTC,2211
2012-01-31 23:58:57 UTC,2838
2012-02-29 23:47:17 UTC,2860
2012-03-31 23:47:23 UTC,2997
2012-04-30 23:48:01 UTC,1829
2012-05-31 23:51:55 UTC,2592
2012-06-30 23:31:01 UTC,2316
2012-07-31 23:49:16 UTC,3006
2012-08-31 23:52:44 UTC,2436
2012-09-30 23:49:11 UTC,2220
2012-10-31 23:31:07 UTC,2623
2012-11-30 23:24:11 UTC,3548
2012-12-31 23:50:12 UTC,3057
2013-01-31 23:44:18 UTC,3719
2013-02-28 23:41:07 UTC,3685
2013-03-31 23:36:42 UTC,3644
2013-04-30 22:41:35 UTC,4583
2013-05-31 23:14:23 UTC,4836
2013-06-30 23:42:09 UTC,4254
2013-07-31 23:48:04 UTC,7027
2013-08-31 23:35:13 UTC,5639
2013-09-30 23:59:18 UTC,5241
2013-10-31 23:59:47 UTC,6191
2013-11-30 23:23:30 UTC,5566
2013-12-31 23:24:44 UTC,4921
2014-01-31 23:25:31 UTC,6176
2014-02-28 23:28:46 UTC,6235
2014-03-31 23:58:10 UTC,7831
2014-04-30 23:57:35 UTC,8931
2014-05-31 23:54:04 UTC,9160
2014-06-30 23:59:34 UTC,9002
2014-07-31 23:59:17 UTC,9731
2014-08-31 23:42:38 UTC,8531
2014-09-30 23:59:23 UTC,10574
2014-10-31 23:58:20 UTC,10619
2014-11-30 23:56:34 UTC,11592
2014-12-31 23:51:49 UTC,10728
2015-01-31 23:56:49 UTC,13168
2015-02-28 23:57:15 UTC,13177
2015-03-31 23:59:49 UTC,14198
2015-04-30 23:52:43 UTC,13217
2015-05-31 23:57:08 UTC,15191
2015-06-30 23:47:48 UTC,16444
2015-07-31 23:57:21 UTC,15296
2015-08-31 23:39:10 UTC,16762
2015-09-30 23:58:54 UTC,16336
2015-10-31 23:56:03 UTC,17406
2015-11-30 23:55:52 UTC,17198
2015-12-31 23:58:50 UTC,17042
2016-01-31 23:57:01 UTC,16057
2016-02-29 23:59:14 UTC,18782
2016-03-31 23:59:41 UTC,21221
2016-04-30 23:47:49 UTC,19073
2016-05-31 23:58:35 UTC,18889
2016-06-30 23:54:45 UTC,20292
2016-07-31 23:59:43 UTC,18688
2016-08-31 23:57:07 UTC,21714
2016-09-30 23:54:12 UTC,20394
2016-10-31 23:54:14 UTC,21134
2016-11-30 23:58:57 UTC,22063
2016-12-31 23:58:27 UTC,20276
2017-01-31 23:57:42 UTC,23887
2017-02-28 23:59:45 UTC,21526
2017-03-31 23:55:18 UTC,27215
2017-04-30 23:56:00 UTC,25228
2017-05-31 23:52:29 UTC,26136
2017-06-30 23:57:19 UTC,26275
2017-07-31 23:59:05 UTC,24882
2017-08-31 23:53:43 UTC,22833
2017-09-30 23:56:54 UTC,20805
2017-10-31 23:54:25 UTC,22342
2017-11-30 23:56:04 UTC,14635
2017-12-31 23:56:11 UTC,10622
2018-01-31 23:49:09 UTC,11423
2018-02-28 23:52:15 UTC,9175
2018-03-31 23:46:35 UTC,9247
2018-04-30 23:52:54 UTC,8121
2018-05-31 23:45:40 UTC,8070
